cell_idx,method,normalized_entropy,correction_magnitude
0,MoE-Harmony,0.22821687745334415,1.4197726762394878
1,MoE-Harmony,0.0892909406198473,1.4913534632637742
2,MoE-Harmony,0.3438343074569291,1.1703271243785207
3,MoE-Harmony,0.1457059771778723,1.6205471575652184
4,MoE-Harmony,0.2519436826083187,1.406302656832026
5,MoE-Harmony,0.16382218182601327,1.4878462603901683
6,MoE-Harmony,0.02227480533486996,1.5742543475633972
7,MoE-Harmony,0.34269042087276563,1.3348552784426146
8,MoE-Harmony,0.013748362066629296,1.903606068901567
9,MoE-Harmony,0.011650287408144704,1.448363199928381
10,MoE-Harmony,0.09330413639427773,1.4219117410807616
11,MoE-Harmony,0.025477103543526922,1.432836073362191
12,MoE-Harmony,0.17249377187311624,1.6603258090540334
13,MoE-Harmony,0.060571227190274426,1.421639615143289
14,MoE-Harmony,0.1635170182683076,2.0013977809727628
15,MoE-Harmony,0.003748861582587775,1.7444278894505814
16,MoE-Harmony,0.02535298541633121,1.6445081454882429
17,MoE-Harmony,0.008877909861172676,1.6522242403862912
18,MoE-Harmony,0.06836193104720484,1.6671832804019435
19,MoE-Harmony,0.05141377823046229,1.3399391076671976
20,MoE-Harmony,0.08105223059088641,1.5360653129106936
21,MoE-Harmony,0.3056935690098803,1.5170394025240552
22,MoE-Harmony,0.29383841926532717,1.8743565975229561
23,MoE-Harmony,0.00787834503209971,1.8377943746507426
24,MoE-Harmony,0.0910242118172475,1.537025266118087
25,MoE-Harmony,0.023132507164056154,1.6260392158216213
26,MoE-Harmony,0.3068514715111149,1.4323616392519123
27,MoE-Harmony,0.15065156678117186,1.4164387883152834
28,MoE-Harmony,0.17243121094858893,1.5724285626656926
29,MoE-Harmony,0.007870939836535298,1.6703564060310576
30,MoE-Harmony,0.18335925920336812,1.8055176407458695
31,MoE-Harmony,0.21146611363520834,1.321339532294845
32,MoE-Harmony,0.35197085089631147,1.3709353106288544
33,MoE-Harmony,0.10684010224029152,1.5339939422049655
34,MoE-Harmony,0.013309423515226229,1.7068319919836836
35,MoE-Harmony,0.023868275909862652,1.1601578090522529
36,MoE-Harmony,0.25386209512848945,1.3418662270537602
37,MoE-Harmony,0.19844374773771467,1.4603415425316468
38,MoE-Harmony,0.021492994461499625,1.0992222779021774
39,MoE-Harmony,0.07861892675034313,1.2872427157188662
40,MoE-Harmony,0.14971196249262275,1.5990212012443659
41,MoE-Harmony,0.013091047994756392,1.45107407636009
42,MoE-Harmony,0.07521991256279133,1.3975962467791285
43,MoE-Harmony,0.08832435289502247,1.5241967491863795
44,MoE-Harmony,0.027761109464465493,1.7512783557739
45,MoE-Harmony,0.03293507490857755,1.640052837680731
46,MoE-Harmony,0.20780085293318207,1.3859291788815236
47,MoE-Harmony,0.01057934858004965,1.6519871214108361
48,MoE-Harmony,0.16222723327407407,1.3754733341878946
49,MoE-Harmony,0.018805893466673114,1.8054423873571612
50,MoE-Harmony,0.22003348702670392,1.426803502774924
51,MoE-Harmony,0.4219069508854208,1.1761009394225614
52,MoE-Harmony,0.07126090468651962,1.4217875543878253
53,MoE-Harmony,0.21093715701555163,1.4301248420614012
54,MoE-Harmony,0.011680307443933417,1.5616428904221127
55,MoE-Harmony,0.15057304329776697,1.3826776179975357
56,MoE-Harmony,0.0258119955441017,1.5717828773839784
57,MoE-Harmony,0.034283078170526594,1.4148345141171823
58,MoE-Harmony,0.02209363282447163,1.7081629835375196
59,MoE-Harmony,0.2674050604107778,1.218750390355083
60,MoE-Harmony,0.14798259541004924,1.667683746684123
61,MoE-Harmony,0.04672010766164481,1.6255418635850092
62,MoE-Harmony,0.14946666261651387,1.746986628601563
63,MoE-Harmony,0.006076420113537019,1.5228989443830268
64,MoE-Harmony,0.006014422995280619,1.5442101486586397
65,MoE-Harmony,0.02615376525379317,1.5952887879843005
66,MoE-Harmony,0.028145533893148476,1.227724115646704
67,MoE-Harmony,0.2288463411283773,1.4986510959135082
68,MoE-Harmony,0.023927715381121054,1.8167640756961674
69,MoE-Harmony,0.2700625033467944,1.4394651822210984
70,MoE-Harmony,0.15902717317470305,1.345974529574855
71,MoE-Harmony,0.2378452544544035,1.2386004354903681
72,MoE-Harmony,0.27141893297692066,1.4622911647181054
73,MoE-Harmony,0.003770631401502216,1.464511888629316
74,MoE-Harmony,0.32223703952336147,1.5011991355870569
75,MoE-Harmony,0.28430469905291356,1.4663643709405292
