diversity,alignment,correction_magnitude,product,method
1.5574369212362171,0.22228473675076924,1.4237320190541225,0.34619445604292104,MoE-Harmony
2.3072280719098845,0.08023767028232115,1.4809392379826611,0.18512660530002087,MoE-Harmony
1.3598886763266576,0.23400811134715205,1.2047171046539598,0.31822498078957967,MoE-Harmony
1.9791479655896622,0.1303253865285756,1.6334611333192692,0.25793322361271676,MoE-Harmony
2.898967122016852,0.11535559623393905,1.3773800161446745,0.3344120808228403,MoE-Harmony
1.1307909330879407,0.1334241331642951,1.479227975817691,0.15087480003730291,MoE-Harmony
1.0809819658537059,0.1528709475236637,1.4141825201527038,0.1652507373760487,MoE-Harmony
1.5875665389000333,0.13670860156872086,1.3254994555421957,0.21703400143031784,MoE-Harmony
1.8667133704172636,0.09519350741499517,1.934105981057649,0.1776989930684864,MoE-Harmony
1.6324167706246677,0.11092205764620656,1.4662127536927079,0.18107102713386375,MoE-Harmony
1.2331768777378298,0.18127495627886328,1.4212245990458339,0.22354408459603023,MoE-Harmony
2.642492802681849,0.08653635385678084,1.4291353587056188,0.228671692236873,MoE-Harmony
1.4187723364255995,0.2065645279361495,1.633198825311897,0.2930680379226218,MoE-Harmony
1.186982905028431,0.09164075952225961,1.3230703432476212,0.10877601495674358,MoE-Harmony
2.0991983587656367,0.05232896286530275,1.9749696169610582,0.10984887296275149,MoE-Harmony
1.7015542028682724,0.11371957822679925,1.7404824025882997,0.19350002628021754,MoE-Harmony
1.1422060565157819,0.10621564055815967,1.617229785511793,0.1213201479422333,MoE-Harmony
1.5982749511304433,0.10367833303015651,1.6340540363910219,0.16570648265705923,MoE-Harmony
1.2211346574493374,0.1075688719719943,1.6328960216917947,0.13135607762773288,MoE-Harmony
2.003629723110227,0.09893993638469126,1.4083174073740437,0.1982389973430024,MoE-Harmony
1.3937559464045803,0.17128989189238658,1.4982806417798917,0.2387363053840115,MoE-Harmony
1.911310709573899,0.0970693689361299,1.5710573895385858,0.18552972441920504,MoE-Harmony
2.1895985640300806,0.08238441638223737,1.8999662027681616,0.1803887998090032,MoE-Harmony
1.529213385567714,0.1017716935389712,1.8425761947607404,0.15563063603168997,MoE-Harmony
2.3212125571190967,0.08996292719644411,1.5233107050070283,0.20882307628357716,MoE-Harmony
1.0889917113624035,0.09990854530686256,1.623752532116931,0.10879957773344849,MoE-Harmony
